County,Democratic,Republican,Total,
,,,,Other
ALAMANCE,36989,36610,113525,39926
ALEXANDER,4107,12168,25139,8864
ALLEGHANY,1726,3374,7997,2897
ANSON,8751,3114,16069,4204
ASHE,3706,9244,20199,7249
AVERY,1295,7351,12824,4178
BEAUFORT,10201,12827,34155,11127
BERTIE,7630,1702,12601,3269
BLADEN,9121,5477,22435,7837
BRUNSWICK,27178,53220,131674,51276
BUNCOMBE,72439,44811,208268,91018
BURKE,12446,23579,58826,22801
CABARRUS,43614,51384,155311,60313
CALDWELL,9268,26559,53825,17998
CAMDEN,1411,3221,8522,3890
CARTERET,9275,26005,56594,21314
CASWELL,5938,4273,15225,5014
CATAWBA,20070,48330,111782,43382
CHATHAM,20960,14354,60755,25441
CHEROKEE,3285,11975,23320,8060
CHOWAN,3626,3176,10406,3604
CLAY,1378,4781,9840,3681
CLEVELAND,19722,26085,67789,21982
COLUMBUS,13906,10840,36313,11567
CRAVEN,19892,28278,76247,28077
CUMBERLAND,86768,48974,213108,77366
CURRITUCK,3350,10230,24247,10667
DARE,7476,11418,33223,14329
DAVIDSON,21221,56011,116190,38958
DAVIE,4634,16519,32505,11352
DUPLIN,10706,9916,31479,10857
DURHAM,124299,23313,234927,87315
EDGECOMBE,20403,6611,34178,7164
FORSYTH,96946,70860,263991,96185
FRANKLIN,16755,16270,52043,19018
GASTON,40326,60350,156149,55473
GATES,3409,2132,8257,2716
GRAHAM,1077,3080,6095,1938
GRANVILLE,15867,11024,40566,13675
GREENE,4792,2524,10896,3580
GUILFORD,154684,88347,376979,133948
HALIFAX,20295,4858,35785,10632
HARNETT,23935,30989,86265,31341
HAYWOOD,11883,16192,45955,17880
HENDERSON,17054,32102,89323,40167
HERTFORD,8780,1563,13775,3432
HOKE,13747,7462,33637,12428
HYDE,1353,679,3173,1141
IREDELL,27234,57150,138790,54406
JACKSON,8344,8502,29897,13051
JOHNSTON,39881,57618,155616,58117
JONES,2463,2351,7173,2359
LEE,12394,12021,39576,15161
LENOIR,16349,10492,38000,11159
LINCOLN,11679,32068,67670,23923
MACON,4903,12447,28238,10888
MADISON,4895,4817,17004,7292
MARTIN,7567,3512,15939,4860
MCDOWELL,5496,13134,29923,11293
MECKLENBURG,322505,155784,788310,310021
MITCHELL,1044,6496,11240,3700
MONTGOMERY,5020,6318,17061,5723
MOORE,14935,31062,75228,29231
NASH,28167,19402,67315,19746
NEW HANOVER,50281,53762,180509,76466
NORTHAMPTON,7663,1568,12671,3440
ONSLOW,24137,48088,126538,54313
ORANGE,50282,13297,108893,45314
PAMLICO,2766,4166,10299,3367
PASQUOTANK,10930,7668,29971,11373
PENDER,10778,19848,49301,18675
PERQUIMANS,2905,3596,10296,3795
PERSON,9385,8212,27638,10041
PITT,47983,30755,121982,43244
POLK,3573,6250,16633,6810
RANDOLPH,14835,49764,95564,30965
RICHMOND,11792,7618,28625,9215
ROBESON,34715,13893,73672,25064
ROCKINGHAM,17323,24363,61392,19706
ROWAN,22207,41532,96974,33235
RUTHERFORD,9698,20043,46325,16584
SAMPSON,12521,15444,38150,10185
SCOTLAND,9854,4657,21680,7169
STANLY,8361,21177,44414,14876
STOKES,5126,16980,32352,10246
SURRY,9071,22313,47656,16272
SWAIN,2750,3119,9832,3963
TRANSYLVANIA,5614,8442,26201,12145
TYRRELL,987,460,2296,849
UNION,39774,70549,178156,67833
VANCE,16005,5018,28212,7189
WAKE,286077,176234,821613,359302
WARREN,7751,2306,13236,3179
WASHINGTON,4509,1411,7942,2022
WATAUGA,11249,12411,44254,20594
WAYNE,26585,25552,74451,22314
WILKES,6688,24159,44068,13221
WILSON,24649,13908,55110,16553
YADKIN,2926,14157,24884,7801
YANCEY,3683,5394,14269,5192
Totals,2406003,2235450,7445426,2803973